test,,,,,,
null,Fire Station No. 22 - Temple,51.09177006,-113.9574929,TEMPLE,[],
null,Municipal Building,51.04541403,-114.0565464,DOWNTOWN COMMERCIAL CORE,[],
null,Fire Station No. 24 - Cedarbrae,50.95743078,-114.1213903,CEDARBRAE,[],
null,69th St. Park and Ride,51.03722709,-114.1892563,SPRINGBANK HILL,[],
null,Shepard Solar Park,50.94455532,-113.9371242,EAST SHEPARD INDUSTRIAL,[],
null,Fire Station No. 8 – Rosscarrock,51.03867255,-114.1521183,ROSSCARROCK,[],
null,Fire Station No. 5 – South Calgary,51.0260092,-114.0949484,SOUTH CALGARY,[],
null,Ralph Klein Legacy Park,50.93756317,-113.9030174,12B,[],
null,Fire Station No. 30 - McKenzie Towne,50.91643163,-113.9630697268,MCKENZIE TOWNE,[],
null,Bearspaw Operations Work Centre,51.10415483,-114.2532031,01B,[],
314106,Calgary Fire Hall Headquarters,51.01618884,-114.0366670153,HIGHFIELD,"[[2015, [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], [2016, [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.427, 0.005]], [2017, [0.0, 184.097, 424.433, 728.423, 443.593, 942.789, 1273.087, 634.142, 1147.911, 1724.178, 1807.288, 643.799, 1223.118, 1776.512, 2433.962, 3074.858, 3074.924, 646.395, 1190.362, 1832.809, 2485.572, 3197.048, 3197.735, 590.97, 1170.094, 1737.013, 2384.338, 2701.308, 611.02, 991.326, 1465.1, 1957.956, 514.464, 841.478, 1227.511, 1341.897, 91.617, 195.91, 234.748, 58.818, 101.466]], [2018, [68.901, 216.409, 296.066, 75.527, 384.725, 364.673, 697.539, 1133.304, 1143.317, 486.353, 973.478, 1595.831, 2208.956, 2259.939, 608.167, 1128.261, 1724.047, 2390.294, 2798.306, 567.09, 1144.497, 1608.444, 2009.221, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]]","[[2015,0.0],[2016,0.432],[2017,52304.0690],[2018,25883.345]]"
